country,year,fossil_electricity,renewables_electricity,fossil_fuel_consumption,renewables_consumption,population,gdp,pc1,pc2,class,elec_gen_sum,elec_con_sum
Afghanistan,1985,0.0,0.0,0.0,0.0,11938000.0,35424002048.0,-0.5509958301551194,1.6930176447152145,2,0.0,0.0
Afghanistan,1986,0.0,0.0,0.0,0.0,11736000.0,36477153280.0,-0.5477098403377916,1.5935453112925844,2,0.0,0.0
Afghanistan,1987,0.0,0.0,0.0,0.0,11605000.0,32731392000.0,-0.5459091153392239,1.4938795641478995,2,0.0,0.0
Afghanistan,1988,0.0,0.0,0.0,0.0,11618000.0,30025320448.0,-0.5433393540837507,1.3943206642519868,2,0.0,0.0
Afghanistan,1989,0.0,0.0,0.0,0.0,11869000.0,27910701056.0,-0.5398941167815504,1.2948861462197852,2,0.0,0.0
Afghanistan,1990,0.0,0.0,0.0,0.0,12412000.0,27027456000.0,-0.5351972469433773,1.1956276626113873,2,0.0,0.0
Afghanistan,1991,0.0,0.0,0.0,0.0,13299000.0,24076392448.0,-0.530260898605627,1.0964135430706987,2,0.0,0.0
Afghanistan,1992,0.0,0.0,0.0,0.0,14486000.0,24472467456.0,-0.5233077982375863,0.9974767458056522,2,0.0,0.0
Afghanistan,1993,0.0,0.0,0.0,0.0,15817000.0,18363240448.0,-0.5182340855682075,0.8982972195201147,2,0.0,0.0
Afghanistan,1994,0.0,0.0,0.0,0.0,17076000.0,14271192064.0,-0.5126543514469301,0.7991818155580301,2,0.0,0.0
Afghanistan,1995,0.0,0.0,0.0,0.0,18111000.0,21408944128.0,-0.5037613408877839,0.7004954393116559,2,0.0,0.0
Afghanistan,1996,0.0,0.0,0.0,0.0,18853000.0,20271888384.0,-0.4985951372613386,0.6013062832109038,2,0.0,0.0
Afghanistan,1997,0.0,0.0,0.0,0.0,19357000.0,19232094208.0,-0.49406265912739095,0.5020246548871361,2,0.0,0.0
Afghanistan,1998,0.0,0.0,0.0,0.0,19738000.0,18362912768.0,-0.4898154505815283,0.4027008122554349,2,0.0,0.0
Afghanistan,1999,0.0,0.0,0.0,0.0,20171000.0,17476122624.0,-0.48542850269540977,0.30339734236796523,2,0.0,0.0
Afghanistan,2000,0.155,0.312,0.0,0.0,20780000.0,16508834816.0,-0.47854148515847555,0.20398786892221238,2,0.46699999999999997,0.0
Afghanistan,2001,0.094,0.498,0.0,0.0,21607000.0,15574844416.0,-0.4721086608412285,0.10472785748040622,2,0.592,0.0
Afghanistan,2002,0.132,0.555,0.0,0.0,22601000.0,25676800000.0,-0.46190237887453856,0.006131031845541625,2,0.687,0.0
Albania,1985,0.0,0.0,0.0,0.0,2970000.0,10624500736.0,-0.5848665284648449,1.6882144109542316,2,0.0,0.0
Albania,1986,0.0,0.0,0.0,0.0,3044000.0,10802745344.0,-0.5811131460918375,1.588814003700495,2,0.0,0.0
Albania,1987,0.0,0.0,0.0,0.0,3125000.0,11408249856.0,-0.5771901449081708,1.4894362446603906,2,0.0,0.0
Albania,1988,0.0,0.0,0.0,0.0,3201000.0,11650818048.0,-0.5734085715137353,1.3900396326074906,2,0.0,0.0
Albania,1989,0.0,0.0,0.0,0.0,3258000.0,11783652352.0,-0.5697188336654747,1.2906301943526715,2,0.0,0.0
Albania,1990,0.0,0.0,0.0,0.0,3286000.0,13325848576.0,-0.5656157637843834,1.1912742382578028,2,0.0,0.0
Albania,1991,0.0,0.0,0.0,0.0,3280000.0,12107413504.0,-0.562577133160876,1.091776521886261,2,0.0,0.0
Albania,1992,0.0,0.0,0.0,0.0,3246000.0,10834560000.0,-0.5596361768288876,0.9922648749442817,2,0.0,0.0
Albania,1993,0.0,0.0,0.0,0.0,3195000.0,12453888000.0,-0.5557277189607936,0.8928803021713325,2,0.0,0.0
Albania,1994,0.0,0.0,0.0,0.0,3147000.0,14185466880.0,-0.5517714405931419,0.7935021526505475,2,0.0,0.0
Albania,1995,0.0,0.0,0.0,0.0,3113000.0,14823340032.0,-0.5481597858137605,0.6940790339294892,2,0.0,0.0
Albania,1996,0.0,0.0,0.0,0.0,3099000.0,17566066688.0,-0.5437531674773577,0.5947615872180154,2,0.0,0.0
Albania,1997,0.0,0.0,0.0,0.0,3100000.0,14235786240.0,-0.5414361883689149,0.49516887665821446,2,0.0,0.0
Albania,1998,0.0,0.0,0.0,0.0,3111000.0,14018745344.0,-0.5379983461751762,0.3957244841494009,2,0.0,0.0
Albania,1999,0.0,0.0,0.0,0.0,3123000.0,16016088064.0,-0.5337804104748155,0.29638309643764593,2,0.0,0.0
Albania,2000,0.135,4.548,0.0,0.0,3129000.0,16399011840.0,-0.504035646903605,0.19427348397830277,2,4.683,0.0
Albania,2001,0.129,3.519,0.0,0.0,3130000.0,16951805952.0,-0.5062222315842978,0.09547131599661386,2,3.648,0.0
Albania,2002,0.164,3.477,0.0,0.0,3126000.0,17037855744.0,-0.5029007225501925,-0.003937654607906716,2,3.641,0.0
Algeria,1985,0.0,0.646,260.387,1.794,22432000.0,282000000000.0,-0.37368186556359473,1.7134940193016162,2,0.646,262.181
Algeria,1986,0.0,0.25,276.752,0.694,23102000.0,244000000000.0,-0.3828601886748917,1.6133045654829399,2,0.25,277.446
Algeria,1987,0.0,0.499,283.693,1.386,23774000.0,226000000000.0,-0.37949010518362397,1.5132009484932645,2,0.499,285.079
Algeria,1988,0.0,0.183,304.881,0.508,24443000.0,201000000000.0,-0.38218484097592975,1.4136338299440154,2,0.183,305.38899999999995
