,,year,population,gdp,fossil_electricity,renewables_electricity,fossil_fuel_consumption,renewables_consumption,elec_gen_sum,elec_con_sum
Overall,Averages,2002.181626466324,29009826.245947015,270602944273.76514,50.65680110715702,16.136776459733692,463.50731698958725,41.72741228417033,66.79357756689056,505.2347292737583
Class 0,Averages,2010.8889501240012,16629464.273353541,157291551224.81345,26.115742628823394,8.594255993386643,212.03787103885387,18.586295398181313,34.70999862220989,230.62416643703494
Class 1,Averages,2004.8867924528302,654781342.490566,10883773584905.66,2830.1262830188684,593.9565471698114,22981.14518867924,1665.923113207547,3424.0828301886795,24647.068301886793
Class 2,Averages,1993.593183662429,13125866.91479578,110168108955.96646,14.000928861238842,4.466903705707329,168.20710251555323,11.439466865025695,18.467832566946143,179.64656938057857
Class 3,Averages,2002.2259615384614,367882138.1923077,2394817307692.3076,422.12015865384615,207.9198461538462,4361.933783653845,569.9546971153849,630.0400048076923,4931.888480769231
