country,year,fossil_electricity,renewables_electricity,fossil_fuel_consumption,renewables_consumption,population,gdp,pc1,pc2,class,elec_gen_sum,elec_con_sum
China,2002,1320.534,288.437,12699.612,799.449,1307352064.0,6110000000000.0,13.44187451185095,0.8841720181718097,1,1608.971,13499.061
China,2003,1532.583,284.368,14896.342,784.264,1315303936.0,6570000000000.0,14.38183735715,0.875116275646221,1,1816.951,15680.606
China,2004,1759.211,353.823,17375.205,973.111,1323085056.0,7220000000000.0,16.32176674981264,0.8081987691616752,1,2113.034,18348.316000000003
China,2005,1973.427,397.67,19761.647,1096.047,1330776064.0,8230000000000.0,18.062481401735297,0.7799520760129383,1,2371.0969999999998,20857.694
China,2006,2304.524,421.243,21671.211,1204.585,1338408960.0,9050000000000.0,19.68689751335955,0.7556099605034846,1,2725.767,22875.796
China,2007,2684.537,479.672,23515.753,1343.628,1345993984.0,9820000000000.0,21.624890141088787,0.7059759554119898,1,3164.209,24859.381
China,2008,2768.494,593.638,24004.399,1772.014,1353569024.0,10200000000000.0,23.58114788254945,0.5131270194067636,1,3362.132,25776.413
China,2009,2993.042,611.807,25145.182,1760.829,1361169024.0,11100000000000.0,24.612172235482394,0.4894443441588776,1,3604.849,26906.011000000002
China,2010,3398.282,752.445,26704.582,2068.34,1368811008.0,12600000000000.0,27.6148323326686,0.396072714430643,1,4150.727,28772.922
China,2011,3866.0,766.2,28960.784,2074.6,1376498048.0,13700000000000.0,29.364613632742074,0.42270003751844043,1,4632.2,31035.384
China,2012,3893.9,994.28,29660.252,2599.127,1384205952.0,14300000000000.0,32.201837180983105,0.15856364255251207,1,4888.18,32259.379
China,2013,4183.3,1077.38,30602.048,2827.693,1391883008.0,15000000000000.0,34.10789297072268,0.052567722728117335,1,5260.68,33429.741
China,2014,4181.3,1290.0,30841.824,3318.602,1399453952.0,15900000000000.0,36.74582393117748,-0.19537277960992627,1,5471.3,34160.426
China,2015,4176.8,1391.8,30845.17,3548.226,1406848000.0,16400000000000.0,38.005036981231314,-0.3629613774042312,1,5568.6,34393.396
