country,year,fossil_electricity,renewables_electricity,fossil_fuel_consumption,renewables_consumption,population,gdp,pc1,pc2,class,elec_gen_sum,elec_con_sum
China,2016,4261.9,1547.7,30872.326,3855.695,1414049024.0,16900000000000.0,39.89114195926917,-0.5671295485431421,1,5809.599999999999,34728.021
China,2017,4506.4,1694.2,31527.347,4194.58,1421021952.0,0.0,36.077852703498834,-1.5519026403039389,1,6200.599999999999,35721.927
China,2018,4831.3,1870.5,32388.702,4592.223,1427648000.0,0.0,38.66682405120078,-1.7699479052984608,1,6701.8,36980.925
China,2019,4934.742,2043.258,33512.486,4984.982,1433784064.0,0.0,40.90855892655251,-1.996041781694033,1,6978.0,38497.46799999999
United States,1985,1929.329,323.592,18135.944,898.867,240500000.0,7880000000000.0,13.561058908058987,2.3440469741808654,1,2252.921,19034.810999999998
United States,1986,1904.22,335.695,18135.955,932.487,242763008.0,8150000000000.0,13.763936087641525,2.2441018267908617,1,2239.915,19068.442000000003
United States,1987,1994.51,298.09,18806.082,828.028,245052992.0,8430000000000.0,13.72583850029825,2.2167252431695585,1,2292.6,19634.109999999997
United States,1988,2088.552,270.789,19631.993,752.192,247372000.0,8790000000000.0,13.873710269862286,2.186274953311875,1,2359.3410000000003,20384.184999999998
United States,1989,2267.343,325.965,19994.009,905.459,249726000.0,9090000000000.0,15.001362763801096,2.067053077982782,1,2593.308,20899.467999999997
United States,1990,2261.957,352.928,19813.402,998.025,252120000.0,9250000000000.0,15.371135753932865,1.942286077564616,1,2614.8849999999998,20811.427
United States,1991,2261.573,351.337,19679.139,996.41,254539008.0,9240000000000.0,15.337018534559549,1.8417270466339823,1,2612.91,20675.549
United States,1992,2299.683,319.567,20083.125,910.964,256991008.0,9570000000000.0,15.248343515658778,1.8011414081333024,1,2619.25,20994.089
United States,1993,2398.646,349.687,20496.363,998.555,259532000.0,9840000000000.0,15.961485513563234,1.7003517343970802,1,2748.333,21494.918
United States,1994,2441.003,329.68,20893.884,946.239,262240992.0,10200000000000.0,16.0270116938784,1.6495998634452471,1,2770.683,21840.123
United States,1995,2466.568,378.196,21170.063,1083.218,265164000.0,10500000000000.0,16.810346499660387,1.524000245591979,1,2844.764,22253.281
United States,1996,2522.6,416.184,21883.039,1179.503,268335008.0,10900000000000.0,17.624423273658874,1.4266596131065419,1,2938.784,23062.542
United States,1997,2613.247,425.647,22175.467,1212.031,271713984.0,11400000000000.0,18.147470226725275,1.354074661432424,1,3038.894,23387.498
United States,1998,2738.78,391.287,22301.748,1119.702,275175008.0,11900000000000.0,18.18045482132951,1.3249078876603664,1,3130.067,23421.45
United States,1999,2763.086,388.135,22599.158,1112.247,278548000.0,12500000000000.0,18.472318901771022,1.26556975761622,1,3151.2209999999995,23711.405
United States,2000,2697.273,350.939,23224.264,998.832,281711008.0,13000000000000.0,18.227397531673052,1.2375014526265764,1,3048.212,24223.095999999998
United States,2001,2688.911,278.906,22744.12,826.501,284608000.0,13100000000000.0,17.385502841461538,1.2012747142975213,1,2967.817,23570.621
United States,2002,2743.693,334.695,22941.458,984.608,287279008.0,13300000000000.0,18.25168473173331,1.064013551233078,1,3078.3880000000004,23926.066
United States,2003,2772.694,346.758,23040.023,1029.536,289816000.0,13700000000000.0,18.635394659369442,0.9745653880657033,1,3119.4519999999998,24069.559
United States,2004,2839.03,342.996,23499.054,1030.934,292355008.0,14200000000000.0,19.008676336395325,0.9157475856823701,1,3182.0260000000003,24529.988
United States,2005,2922.344,351.093,23512.607,1061.403,294993984.0,14700000000000.0,19.447612670176095,0.8376323717159008,1,3273.437,24574.01
United States,2006,2898.27,379.214,23185.686,1171.152,297759008.0,15100000000000.0,19.884258058201713,0.7165248971850632,1,3277.484,24356.838000000003
United States,2007,3004.469,345.851,23576.561,1112.113,300608000.0,15400000000000.0,19.944019426517183,0.6764779808439428,1,3350.32,24688.674000000003
United States,2008,2938.535,374.644,22789.636,1248.159,303486016.0,15300000000000.0,20.100093719805443,0.5153732267380476,1,3313.179,24037.795
United States,2009,2738.38,413.096,21395.358,1377.491,306308000.0,14900000000000.0,19.841870793417247,0.313168311750726,1,3151.476,22772.849000000002
United States,2010,2896.217,421.875,22174.395,1436.544,309011008.0,15300000000000.0,20.59300854101214,0.24722504457550856,1,3318.092,23610.939000000002
United States,2011,2803.021,506.916,21746.803,1677.753,311584000.0,15500000000000.0,21.425446525191326,0.05659379646432778,1,3309.9370000000004,23424.556
United States,2012,2788.811,489.623,21197.905,1629.475,314044000.0,15900000000000.0,21.23825188720131,-0.018437620224458353,1,3278.434,22827.379999999997
United States,2013,2759.555,517.392,21729.859,1725.846,316400992.0,16100000000000.0,21.742095763785645,-0.1293028010562454,1,3276.947,23455.705
United States,2014,2764.034,543.638,21940.02,1772.889,318672992.0,16500000000000.0,22.192415300505928,-0.22705357468249102,1,3307.672,23712.909
United States,2015,2741.274,553.289,21670.455,1803.698,320878016.0,16900000000000.0,22.36903366555451,-0.3245739569096676,1,3294.563,23474.153000000002
United States,2016,2668.222,621.571,21428.95,1998.776,323016000.0,17200000000000.0,23.11424371440656,-0.48870096350086445,1,3289.793,23427.726000000002
United States,2017,2549.205,704.106,21331.723,2197.375,325084992.0,0.0,17.758156794748984,-1.472993551530423,1,3253.3109999999997,23529.098
United States,2018,2666.35,730.502,22196.473,2248.427,327096000.0,0.0,18.40005573373145,-1.568221478397625,1,3396.852,24444.9
United States,2019,2595.032,757.393,21891.102,2290.491,329064992.0,0.0,18.469148442436676,-1.7005393993182676,1,3352.425,24181.593
